date,weekday,pair,label_quality,model_text_in_post,mapped_notion_model,direction_if_stated,entry_hours_mentioned,result_if_stated,taken_flag,coverage_note,post_id,post_url,raw_excerpt
2025-01-13,Monday,EURUSD,explicit_model,ASIA MODEL,Asia Model,short,3AM,+3R,yes,Josh named the model in the post,1878752883287670999,https://x.com/josh_traderr/status/1878752883287670999,"ASIA MODEL PO3 3AM +3R just sell eu this week"
2025-01-21,Tuesday,EURUSD,explicit_model,NY reversal,NY Reversal,unknown,8AM,+4R,yes,Josh named the model in the post,1881728990030991596,https://x.com/josh_traderr/status/1881728990030991596,"NY reversal SMT w/DXY (London lows) 8AM -> OLHC +4R"
2025-01-22,Wednesday,EURUSD,explicit_model,Classic london model,London Reversal (family),unknown,1AM;2AM,+2R,yes,Classic london model treated as London family; also mentions Asia range,1882008307487158372,https://x.com/josh_traderr/status/1882008307487158372,"Classic london model ASIA RANGE JUDAS SWIG OPEN 1AM PO3 2AM +2"
2025-01-27,Monday,EURUSD,explicit_model,Classic London Model,London Reversal (family),long,3AM,+3.5R,yes,Josh named Classic London Model,1883808404982096125,https://x.com/josh_traderr/status/1883808404982096125,"Classic London Model 3AM OLHC Buy Below the Open +3.5R"
2025-01-29,Wednesday,EURUSD,explicit_model,Classic london model,London Reversal (family),short,1AM,+4R,yes,Also called market maker sell model,1884548927594103000,https://x.com/josh_traderr/status/1884548927594103000,"Classic london model JUDAS SWIG OPEN 1AM +4R"
2025-01-31,Friday,EURUSD,explicit_model,NY continuation,NY Continuation,unknown,,taken,yes,Josh named NY continuation,1885334344471867479,https://x.com/josh_traderr/status/1885334344471867479,"$eu - NY continuation"
2025-03-14,Friday,EURUSD,explicit_model,LONDON REVERSAL,London Reversal,unknown,4AM,+3R,yes,Josh named the model in the post,1900503831365972278,https://x.com/josh_traderr/status/1900503831365972278,"LONDON REVERSAL OLHC 4AM +3"
2025-03-18,Tuesday,EURUSD,explicit_model,Classic London Model,London Reversal (family),long,3AM,+2.5R,yes,Josh named Classic London Model,1901918525171589275,https://x.com/josh_traderr/status/1901918525171589275,"Classic London Model 3AM OLHC Buy Below the Open +2.5R"
2025-03-19,Wednesday,EURUSD,explicit_model,Asia Model,Asia Model,short,3AM,+3R,yes,Josh named the model in the post,1902268732958757245,https://x.com/josh_traderr/status/1902268732958757245,"Asia Model 3AM OHLC Sell Below the Open +3R"
2025-04-02,Wednesday,EURUSD,explicit_model,"London Reversal, New York Continuation",London Reversal.1 -> NY Continuation.1,unknown,,taken,yes,Sequence named explicitly; Tuesday reversal Wednesday continuation,1907435242601714163,https://x.com/josh_traderr/status/1907435242601714163,"Profile- London Reversal, New York Continuation"
